epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.096,1.70036,4.68351,1.86507,0.42785,0.37602,0.34435,0.17169,1.45165,4.14515,1.69067,0.000132789,0.000132789,0.000132789
2,1058.57,1.57311,3.32396,1.72082,0.68154,0.622,0.74353,0.41339,1.48635,3.37922,1.72542,0.000260853,0.000260853,0.000260853
3,1560.56,1.52955,2.84854,1.65257,0.75558,0.7741,0.85467,0.51594,1.35802,2.64186,1.61529,0.000383637,0.000383637,0.000383637
4,2189.67,1.47632,2.46928,1.61938,0.86724,0.82939,0.93445,0.59945,1.22928,2.07246,1.52611,0.00037624,0.00037624,0.00037624
5,2643.01,1.41756,2.21179,1.55824,0.82955,0.91116,0.94391,0.59712,1.24358,1.95345,1.48581,0.00036832,0.00036832,0.00036832
6,3093.99,1.3786,1.96222,1.52687,0.89227,0.91634,0.96644,0.65628,1.10747,1.55811,1.43203,0.0003604,0.0003604,0.0003604
7,3615.62,1.36551,1.79294,1.49417,0.91573,0.95285,0.96763,0.67271,1.11514,1.47615,1.39013,0.00035248,0.00035248,0.00035248
8,4152.63,1.33095,1.67934,1.47141,0.95894,0.96139,0.98538,0.69441,1.06845,1.31067,1.38781,0.00034456,0.00034456,0.00034456
9,4631.64,1.28172,1.54062,1.43321,0.88848,0.93091,0.97003,0.66385,1.1362,1.30699,1.42783,0.00033664,0.00033664,0.00033664
10,5217.71,1.25429,1.42883,1.41481,0.95844,0.9888,0.99448,0.70208,1.04804,1.11691,1.36737,0.00032872,0.00032872,0.00032872
11,5697.75,1.23895,1.35752,1.41838,0.97026,0.97063,0.98821,0.71912,1.00769,1.00756,1.32943,0.0003208,0.0003208,0.0003208
12,6191.2,1.21411,1.2588,1.39415,0.94132,0.94886,0.97432,0.66654,1.18925,1.07575,1.45048,0.00031288,0.00031288,0.00031288
13,7437.84,1.18808,1.1997,1.34965,0.96505,0.96754,0.98713,0.70891,1.02611,0.91479,1.35669,0.00030496,0.00030496,0.00030496
14,8298.42,1.18567,1.17749,1.36504,0.94965,0.98704,0.98374,0.70347,1.04378,0.91549,1.36142,0.00029704,0.00029704,0.00029704
15,8943.81,1.17126,1.14161,1.35253,0.95378,0.97549,0.98517,0.71473,1.04562,0.84735,1.33635,0.00028912,0.00028912,0.00028912
16,9462.12,1.16351,1.10144,1.35021,0.97827,0.98054,0.98661,0.71656,1.01283,0.8337,1.33826,0.0002812,0.0002812,0.0002812
17,12002,1.16349,1.0704,1.33911,0.97273,0.98286,0.98577,0.72014,1.01995,0.80233,1.33441,0.00027328,0.00027328,0.00027328
18,12729.1,1.12773,1.05887,1.3267,0.95783,0.99181,0.99292,0.73223,0.98295,0.73636,1.29788,0.00026536,0.00026536,0.00026536
19,13257.8,1.13029,1.01961,1.3294,0.97041,0.97543,0.98826,0.73826,0.97028,0.73826,1.29536,0.00025744,0.00025744,0.00025744
20,13769.5,1.12167,1.00065,1.30903,0.97144,0.96563,0.98485,0.70893,1.06331,0.71508,1.3529,0.00024952,0.00024952,0.00024952
21,14259,1.09338,0.95383,1.29941,0.97367,0.98783,0.98824,0.74911,0.93645,0.6725,1.2742,0.0002416,0.0002416,0.0002416
22,15424.6,1.05084,0.9021,1.27058,0.97959,0.99027,0.99037,0.73753,0.96454,0.66825,1.29918,0.00023368,0.00023368,0.00023368
23,16026.9,1.0665,0.93732,1.2862,0.96545,0.98219,0.98645,0.74801,0.95888,0.64328,1.29279,0.00022576,0.00022576,0.00022576
24,16536.1,1.05825,0.88301,1.27834,0.97954,0.9877,0.98967,0.74377,0.95134,0.63858,1.29874,0.00021784,0.00021784,0.00021784
25,17241.6,1.05525,0.87454,1.27686,0.97176,0.98196,0.99103,0.74067,0.96232,0.608,1.30211,0.00020992,0.00020992,0.00020992
