epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.905,1.69754,4.67451,1.8575,0.46838,0.29927,0.31327,0.16583,1.41182,4.28426,1.61626,0.000132249,0.000132249,0.000132249
2,872.58,1.53569,3.26106,1.68665,0.81583,0.55387,0.75307,0.40926,1.48465,3.17372,1.66421,0.000255066,0.000255066,0.000255066
3,1220.55,1.49357,2.70497,1.63324,0.7106,0.70379,0.83699,0.45099,1.57549,3.00916,1.77214,0.000367322,0.000367322,0.000367322
4,1568.24,1.47374,2.37199,1.59196,0.79227,0.87163,0.92995,0.59653,1.25932,2.26494,1.50283,0.00035248,0.00035248,0.00035248
5,1914.72,1.41215,2.09356,1.53467,0.88826,0.8618,0.93993,0.63324,1.16686,1.88243,1.43929,0.00033664,0.00033664,0.00033664
6,2258.81,1.36075,1.86678,1.49286,0.87981,0.9253,0.96676,0.62011,1.24163,1.82083,1.49095,0.0003208,0.0003208,0.0003208
7,2601.69,1.32769,1.70712,1.46627,0.90652,0.95232,0.98044,0.6529,1.16319,1.64062,1.46229,0.00030496,0.00030496,0.00030496
8,2946.9,1.27896,1.59026,1.41254,0.92501,0.94024,0.97547,0.70081,1.05869,1.34753,1.36894,0.00028912,0.00028912,0.00028912
9,3291.95,1.24304,1.469,1.40449,0.94794,0.93032,0.97491,0.66949,1.13052,1.41079,1.42966,0.00027328,0.00027328,0.00027328
10,3637.32,1.20945,1.35633,1.38209,0.95772,0.96637,0.9814,0.70473,1.04717,1.16589,1.36467,0.00025744,0.00025744,0.00025744
11,3981.52,1.20316,1.31579,1.38378,0.9711,0.98077,0.98902,0.72049,1.00617,1.11413,1.32812,0.0002416,0.0002416,0.0002416
12,4328.01,1.14022,1.20169,1.34473,0.96896,0.97076,0.98503,0.71628,1.05069,1.0373,1.34666,0.00022576,0.00022576,0.00022576
13,4673.37,1.1271,1.13617,1.31957,0.96232,0.98753,0.99139,0.72126,1.05496,0.98457,1.36406,0.00020992,0.00020992,0.00020992
14,5019.49,1.1161,1.11858,1.31248,0.96668,0.98128,0.98867,0.73879,0.97582,0.94173,1.2819,0.00019408,0.00019408,0.00019408
15,5368.06,1.10181,1.09444,1.30095,0.9722,0.9847,0.98915,0.74954,0.95988,0.85925,1.28336,0.00017824,0.00017824,0.00017824
16,5707.58,0.98485,0.93238,1.32408,0.96926,0.97629,0.97938,0.73552,0.97929,0.86294,1.28886,0.0001624,0.0001624,0.0001624
17,6048.32,0.94718,0.86513,1.29448,0.96718,0.97948,0.98488,0.72407,0.99426,0.85364,1.33493,0.00014656,0.00014656,0.00014656
18,6390.42,0.94474,0.82832,1.29315,0.96811,0.97706,0.98533,0.74043,0.94785,0.80558,1.26029,0.00013072,0.00013072,0.00013072
19,6730.52,0.91213,0.79291,1.26948,0.98576,0.98899,0.98954,0.74284,0.96193,0.75195,1.26962,0.00011488,0.00011488,0.00011488
20,7073.24,0.8847,0.74563,1.23549,0.98475,0.98534,0.98885,0.75335,0.92262,0.72483,1.24685,9.904e-05,9.904e-05,9.904e-05
21,7414.29,0.85833,0.72198,1.2217,0.97328,0.99271,0.98891,0.76206,0.89907,0.69996,1.23776,8.32e-05,8.32e-05,8.32e-05
22,7757.71,0.82786,0.69476,1.20272,0.98374,0.98657,0.98981,0.76535,0.89883,0.68868,1.23233,6.736e-05,6.736e-05,6.736e-05
23,8102.67,0.8064,0.67273,1.17813,0.98425,0.98568,0.9865,0.76333,0.92299,0.67281,1.26031,5.152e-05,5.152e-05,5.152e-05
24,8442.19,0.79909,0.66208,1.17077,0.98244,0.98964,0.99037,0.76797,0.90694,0.6676,1.24216,3.568e-05,3.568e-05,3.568e-05
25,8784.96,0.78068,0.64849,1.16874,0.98528,0.98624,0.98989,0.76783,0.89986,0.65794,1.23557,1.984e-05,1.984e-05,1.984e-05
